id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0jopb4EatyNlD35sLQqc8m,"St. John Passion, BWV 245, Pt. 1: No. 5, Dein Will gescheh, Herr Gott, zugleich","Johann Sebastian Bach",27,classical,0.118000,0.097200,1,-21.802000,0,0.035400,0.991000,0.735000,0.140000,0.451000,174.250000,53253,4
5z0IAr7cHkf2ipVTMBkBpI,"Prelude & Fugue in C Minor, BWV 546: Prelude","Johann Sebastian Bach",29,classical,0.108000,0.204000,1,-16.055000,0,0.035200,0.707000,0.958000,0.141000,0.066200,92.617000,412827,4
6i2TBvKrmDG1B5fJMc9NzS,"Magnificat in D Major, BWV 243: XII. Gloria Patri","Johann Sebastian Bach",27,classical,0.414000,0.233000,8,-17.551000,1,0.036600,0.959000,0.018800,0.061400,0.256000,102.247000,124173,3
02JZM9DPeUluamjvbxEV6o,"St. John Passion, BWV 245, Pt. 1: No. 9, Ich folge dir gleichfalls mit freudigen Schritten","Johann Sebastian Bach",27,classical,0.451000,0.087500,9,-22.762000,1,0.070800,0.972000,0,0.126000,0.516000,74.585000,205973,4
25blO12qCQrZgy5r3kV2wy,"Goldberg Variations, BWV 988: Var. 12, Canone alla quarta","Johann Sebastian Bach",29,classical,0.173000,0.146000,7,-19.466000,1,0.039300,0.896000,0.949000,0.247000,0.305000,65.343000,152840,3
7eId3AYo85AmQDpiBEVU8V,"Choral ""Lobt Gott, ihr Christen, allzugleich"", BWV 732","Johann Sebastian Bach",24,classical,0.483000,0.182000,3,-18.764000,1,0.032600,0.860000,0.908000,0.081300,0.528000,93.402000,79275,4
376Bd6nPXXs4Thb46tDaPF,"St. John Passion, BWV 245, Pt. 1: No. 6, Die Schar aber und der Oberhauptmann","Johann Sebastian Bach",27,classical,0.498000,0.140000,6,-25.375000,0,0.094000,0.924000,0,0.268000,0.125000,126.416000,40013,5
5XSlhk0ohNb2klJskHa7yz,"Goldberg Variations, BWV 988: Var. 25","Johann Sebastian Bach",28,classical,0.166000,0.004330,0,-39.310000,0,0.049100,0.981000,0.779000,0.093500,0.036900,60.096000,486560,4
09QOqLcUD57JxzjsJToqbR,"St. John Passion, BWV 245, Pt. 1: No. 10, Derselbige Jünger war dem Hohenpriester bekannt","Johann Sebastian Bach",26,classical,0.482000,0.095700,6,-24.441000,1,0.119000,0.952000,0,0.124000,0.187000,84.717000,182427,4
6fnWLEDz6ebJ7Aq4ys6AtD,"St. John Passion, BWV 245, Pt. 1: No. 11, Wer hat dich so geschlagen","Johann Sebastian Bach",26,classical,0.150000,0.098000,8,-20.848000,1,0.041100,0.993000,0.615000,0.142000,0.174000,78.794000,91960,3
5Uz8nmzrYQ6CHACzMy7ilZ,"Goldberg Variations, BWV 988: Var. 14","Johann Sebastian Bach",28,classical,0.102000,0.012900,7,-34.121000,1,0.049100,0.990000,0.956000,0.147000,0.305000,166.672000,147973,4
5EohypzzF78xg8T6xnMfYX,"The Well-Tempered Clavier, Book 1 - Prelude & Fugue in C-Sharp Minor, BWV 849: II. Fugue","Johann Sebastian Bach",24,classical,0.397000,0.327000,0,-18.765000,0,0.040700,0.859000,0.004520,0.076700,0.488000,128.829000,223998,4
1DOVCaFctyl6cxIbtuUKV3,"The Well-Tempered Clavier, Book 2 - Prelude & Fugue in C Major, BWV 870: I. Prelude","Johann Sebastian Bach",23,classical,0.350000,0.366000,1,-18.796000,0,0.041000,0.733000,0.000020,0.074400,0.920000,123.591000,139749,4
532x5DhRSfM68zPDd9NQgq,"St. John Passion, BWV 245, Pt. 1: No. 13, Ach, mein Sinn, wo willt du endlich hin","Johann Sebastian Bach",26,classical,0.362000,0.267000,5,-16.306000,0,0.040800,0.962000,0.010300,0.245000,0.420000,111.070000,152600,3
1Tt0C9Y5tCpjVU3twveV99,"Goldberg Variations, BWV 988: Var. 13","Johann Sebastian Bach",28,classical,0.233000,0.040600,7,-29.004000,1,0.046900,0.935000,0.901000,0.109000,0.111000,69.016000,328173,3
1FaWKwx8SfKMAR3bAD3jGv,"Goldberg Variations, BWV 988: Var. 15, Canone alla quinta","Johann Sebastian Bach",27,classical,0.129000,0.002440,0,-33.898000,0,0.045600,0.974000,0.980000,0.117000,0.078300,69.150000,294720,4
5Ksr57PQPWih041eXN30vX,"St. John Passion, BWV 245, Pt. 1: No. 12, Und Hannas sandte ihn gebunden - Er leugnete aber und sprach","Johann Sebastian Bach",26,classical,0.311000,0.251000,10,-19.437000,0,0.101000,0.858000,0,0.140000,0.142000,175.066000,117760,3
63OJwycCTJEqmik6rm4L3N,"St. John Passion, BWV 245, Pt. 1: No. 14, Petrus, der nicht denkt zurück","Johann Sebastian Bach",25,classical,0.128000,0.133000,8,-21.247000,1,0.044600,0.993000,0.686000,0.108000,0.129000,173.265000,74000,5
3smBDFEHZstu5df5gz6VxB,"St. John Passion, BWV 245, Pt. 2: No. 15, Christus, der uns selig macht","Johann Sebastian Bach",25,classical,0.225000,0.100000,8,-20.954000,1,0.036900,0.991000,0.783000,0.223000,0.190000,78.367000,64907,3
1yBXPYvvgfdsLG1BR3p8VI,"St. John Passion, BWV 245, Pt. 2: No. 16, Da führeten - Da sprach Pilatus - Auf daß","Johann Sebastian Bach",25,classical,0.444000,0.192000,8,-18.973000,0,0.057600,0.976000,0.000002,0.096700,0.226000,113.482000,238267,3
7aIZVYypjWvOMJNRZdcUoa,"St. John Passion, BWV 245, Pt. 2: No. 17, Ach großer König, groß zu allen Zeiten","Johann Sebastian Bach",25,classical,0.170000,0.080700,8,-22.375000,0,0.034700,0.988000,0.625000,0.147000,0.424000,77.298000,81680,3
75GqCBllw8mhnj53LeZQvM,"St. John Passion, BWV 245, Pt. 2: No. 20, Erwäge, wie sein blutgefärbter Rücken","Johann Sebastian Bach",24,classical,0.329000,0.081800,11,-24.295000,0,0.044600,0.923000,0.209000,0.179000,0.217000,106.156000,442280,4
